         5864117 function calls (5727303 primitive calls) in 13.246 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      378    0.011    0.000   22.510    0.060 __init__.py:1(<module>)
   3279/1    0.044    0.000   13.252   13.252 {built-in method builtins.exec}
        1    0.000    0.000   13.252   13.252 prof.py:1(<module>)
        1    0.000    0.000    9.694    9.694 hierarchical_community_searcher.py:40(hierarchical_community_search)
      5/1    0.000    0.000    9.694    9.694 hierarchical_community_searcher.py:126(_hierarchical_search_recursion)
        5    0.035    0.007    9.683    1.937 advantage_sampler.py:34(sample_qubo_to_dict)
        5    0.000    0.000    9.647    1.929 advantage.py:123(solve)
       71    0.000    0.000    6.492    0.091 threading.py:589(wait)
       71    0.000    0.000    6.491    0.091 threading.py:288(wait)
477681/471880    0.029    0.000    6.491    0.000 {built-in method builtins.len}
      351    6.491    0.018    6.491    0.018 {method 'acquire' of '_thread.lock' objects}
   156/56    0.000    0.000    6.461    0.115 sampleset.py:1480(resolve)
     10/5    0.000    0.000    6.461    1.292 sampleset.py:979(__len__)
    50/15    0.000    0.000    6.461    0.431 sampleset.py:1105(record)
        5    0.000    0.000    6.461    1.292 embedding.py:279(async_unembed)
        5    0.000    0.000    6.461    1.292 transforms.py:513(unembed_sampleset)
        5    0.000    0.000    6.457    1.291 dwave_sampler.py:426(_hook)
        5    0.000    0.000    6.457    1.291 dwave_sampler.py:427(resolve)
        5    0.000    0.000    6.457    1.291 computation.py:825(<lambda>)
        5    0.000    0.000    6.457    1.291 computation.py:759(wait_sampleset)
       35    0.000    0.000    6.455    0.184 computation.py:887(_load_result)
        5    0.000    0.000    6.453    1.291 computation.py:384(wait)
   3529/9    0.018    0.000    3.550    0.394 <frozen importlib._bootstrap>:1022(_find_and_load)
   3026/8    0.010    0.000    3.550    0.444 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
  2913/12    0.010    0.000    3.544    0.295 <frozen importlib._bootstrap>:664(_load_unlocked)
   2684/8    0.007    0.000    3.543    0.443 <frozen importlib._bootstrap_external>:877(exec_module)
  3714/10    0.002    0.000    3.541    0.354 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   937/25    0.002    0.000    3.507    0.140 {built-in method builtins.__import__}
        1    0.000    0.000    3.214    3.214 advantage_sampler.py:1(<module>)
       15    0.000    0.000    2.430    0.162 events.py:95(wrapped)
        5    0.000    0.000    2.285    0.457 dwave_sampler.py:168(__init__)
        5    0.000    0.000    2.214    0.443 dwave_sampler.py:186(_get_solver)
       10    0.000    0.000    2.214    0.221 utils.py:596(wrapper)
        5    0.000    0.000    2.214    0.443 base.py:750(get_solvers)
        5    0.000    0.000    2.212    0.442 base.py:692(_fetch_solvers)
        5    0.000    0.000    1.936    0.387 base.py:1628(_sapi_request)
3771/1616    0.006    0.000    1.636    0.001 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    1.615    1.615 workflow_scheduling.py:1(<module>)
        5    0.000    0.000    1.171    0.234 sessions.py:593(get)
        5    0.000    0.000    1.171    0.234 utils.py:344(request)
        5    0.000    0.000    1.170    0.234 sessions.py:502(request)
        5    0.000    0.000    1.163    0.233 sessions.py:673(send)
     2684    0.023    0.000    1.115    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       16    0.000    0.000    1.028    0.064 base.py:1(<module>)
       29    0.001    0.000    1.009    0.035 utils.py:1(<module>)
        9    0.000    0.000    0.918    0.102 recipe.py:1(<module>)
        1    0.000    0.000    0.914    0.914 wfchef_abstract_recipe.py:1(<module>)
        1    0.000    0.000    0.910    0.910 workflow.py:1(<module>)
        5    0.000    0.000    0.795    0.159 utils.py:317(send)
        5    0.000    0.000    0.795    0.159 adapters.py:434(send)
        5    0.000    0.000    0.791    0.158 connectionpool.py:595(urlopen)
        5    0.000    0.000    0.789    0.158 connectionpool.py:380(_make_request)
     2684    0.009    0.000    0.780    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
5463/5228    0.081    0.000    0.683    0.000 {built-in method builtins.__build_class__}
      161    0.001    0.000    0.640    0.004 socket.py:691(readinto)
      161    0.000    0.000    0.639    0.004 ssl.py:1263(recv_into)
      161    0.000    0.000    0.639    0.004 ssl.py:1121(read)
      161    0.638    0.004    0.638    0.004 {method 'read' of '_ssl._SSLSocket' objects}
     2684    0.611    0.000    0.611    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.563    0.563 qml_gradient_descent.py:1(<module>)
        5    0.000    0.000    0.527    0.105 embedding.py:90(__init__)
        5    0.000    0.000    0.526    0.105 utilities.py:397(child_structure_dfs)
        5    0.000    0.000    0.526    0.105 structured.py:132(structure)
     2974    0.020    0.000    0.496    0.000 <frozen importlib._bootstrap>:921(_find_spec)
        5    0.000    0.000    0.486    0.097 connectionpool.py:1084(_validate_conn)
        5    0.000    0.000    0.486    0.097 connection.py:602(connect)
        2    0.000    0.000    0.483    0.241 knapsack.py:1(<module>)
     2952    0.003    0.000    0.458    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
